tokenid,ownerId,eventId,created
5685504,0x0000000000000000000000000000000000000000,67378,1664219190
5686458,0x0000000000000000000000000000000000000000,67695,1664237235
5686468,0x0000000000000000000000000000000000000000,67555,1664237415
5686557,0x0000000000000000000000000000000000000000,67777,1664238675
5686653,0x0000000000000000000000000000000000000000,67861,1664241570
5686677,0x0000000000000000000000000000000000000000,67405,1664242835
5730384,0x225f137127d9067788314bc7fcc1f36746a3c3b5,67156,1665372660
5730386,0xaf26f7c6bf453e2078f08953e4b28004a2c1e209,67156,1665372690
5730390,0x225f137127d9067788314bc7fcc1f36746a3c3b5,73484,1665372825
5730392,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,73484,1665372850
5735388,0xf87a48f6ab39f9fb164b1c9dd2e6880ac1fc38b6,67229,1665445145
5735428,0xf87a48f6ab39f9fb164b1c9dd2e6880ac1fc38b6,73484,1665445370
5735580,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,67229,1665446490
5736354,0x225f137127d9067788314bc7fcc1f36746a3c3b5,67229,1665459330
5736356,0xe5f648ea98f17aa12acd59468643c62fbbf813eb,67229,1665459340
5736357,0xbb2f91fea03fabd291cd8741b2d2b497763b21a5,67229,1665459365
5736358,0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,67229,1665459385
5736359,0xaf26f7c6bf453e2078f08953e4b28004a2c1e209,67229,1665459395
5736360,0x5a384227b65fa093dec03ec34e111db80a040615,67229,1665459395
5736362,0x225f137127d9067788314bc7fcc1f36746a3c3b5,69649,1665459420
5736365,0xe5f648ea98f17aa12acd59468643c62fbbf813eb,67165,1665459445
5736366,0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,70679,1665459445
5736368,0x0d59d0f7dcc0fbf0a3305ce0261863aaf7ab685c,69649,1665459455
5736369,0x5a384227b65fa093dec03ec34e111db80a040615,70679,1665459460
5736372,0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,67451,1665459475
5736373,0x5a384227b65fa093dec03ec34e111db80a040615,69649,1665459490
5736375,0x225f137127d9067788314bc7fcc1f36746a3c3b5,70679,1665459490
5736376,0x0d59d0f7dcc0fbf0a3305ce0261863aaf7ab685c,67451,1665459500
5736377,0x225f137127d9067788314bc7fcc1f36746a3c3b5,67451,1665459500
5736378,0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,74421,1665459500
5736380,0xaf26f7c6bf453e2078f08953e4b28004a2c1e209,74421,1665459510
5736382,0x225f137127d9067788314bc7fcc1f36746a3c3b5,67173,1665459530
5736383,0xe5f648ea98f17aa12acd59468643c62fbbf813eb,67451,1665459535
5736385,0x5a384227b65fa093dec03ec34e111db80a040615,67165,1665459535
5736386,0x225f137127d9067788314bc7fcc1f36746a3c3b5,67165,1665459540
5736387,0x0d59d0f7dcc0fbf0a3305ce0261863aaf7ab685c,74024,1665459550
5736388,0xbb2f91fea03fabd291cd8741b2d2b497763b21a5,67451,1665459550
5736389,0x225f137127d9067788314bc7fcc1f36746a3c3b5,67984,1665459555
5736390,0x5a384227b65fa093dec03ec34e111db80a040615,67173,1665459570
5736391,0xaf26f7c6bf453e2078f08953e4b28004a2c1e209,70679,1665459570
5736392,0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,67165,1665459570
5736393,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,70679,1665459575
5736395,0xe5f648ea98f17aa12acd59468643c62fbbf813eb,69649,1665459575
5736396,0x5a384227b65fa093dec03ec34e111db80a040615,67161,1665459575
5736397,0x866b3c4994e1416b7c738b9818b31dc246b95eee,67984,1665459580
5736398,0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,74024,1665459590
5736399,0x0d59d0f7dcc0fbf0a3305ce0261863aaf7ab685c,67156,1665459590
5736400,0xe5f648ea98f17aa12acd59468643c62fbbf813eb,74024,1665459595
5736402,0x866b3c4994e1416b7c738b9818b31dc246b95eee,70679,1665459625
5736403,0xbb2f91fea03fabd291cd8741b2d2b497763b21a5,74024,1665459625
5736404,0x0d59d0f7dcc0fbf0a3305ce0261863aaf7ab685c,74421,1665459635
5736405,0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,67156,1665459650
5736406,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,69649,1665459650
5736407,0x5a384227b65fa093dec03ec34e111db80a040615,67156,1665459670
5736408,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,67451,1665459675
5736409,0x0d59d0f7dcc0fbf0a3305ce0261863aaf7ab685c,67165,1665459685
5736410,0x866b3c4994e1416b7c738b9818b31dc246b95eee,69649,1665459685
5736411,0x225f137127d9067788314bc7fcc1f36746a3c3b5,73967,1665459685
5736412,0xe5f648ea98f17aa12acd59468643c62fbbf813eb,70679,1665459690
5736413,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,74421,1665459695
5736415,0x866b3c4994e1416b7c738b9818b31dc246b95eee,67156,1665459695
5736416,0x5a384227b65fa093dec03ec34e111db80a040615,74421,1665459700
5736417,0x866b3c4994e1416b7c738b9818b31dc246b95eee,67451,1665459710
5736418,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,74024,1665459730
5736419,0xb8c2c29ee19d8307cb7255e1cd9cbde883a267d5,67165,1665459735
5736420,0xe5f648ea98f17aa12acd59468643c62fbbf813eb,67156,1665459740
5736421,0x5a384227b65fa093dec03ec34e111db80a040615,74024,1665459750
5736423,0x866b3c4994e1416b7c738b9818b31dc246b95eee,67165,1665459790
5736424,0x5a384227b65fa093dec03ec34e111db80a040615,67451,1665459810
5736425,0xe5f648ea98f17aa12acd59468643c62fbbf813eb,74421,1665459810
5736426,0xbb2f91fea03fabd291cd8741b2d2b497763b21a5,74421,1665459810
5736427,0x866b3c4994e1416b7c738b9818b31dc246b95eee,67161,1665459830
5736428,0x0d59d0f7dcc0fbf0a3305ce0261863aaf7ab685c,67173,1665459845
5736429,0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,67173,1665459845
5736430,0x225f137127d9067788314bc7fcc1f36746a3c3b5,74422,1665459855
5736431,0x866b3c4994e1416b7c738b9818b31dc246b95eee,67173,1665459855
5736432,0xbb2f91fea03fabd291cd8741b2d2b497763b21a5,70679,1665459860
5736433,0x0d59d0f7dcc0fbf0a3305ce0261863aaf7ab685c,67161,1665459865
5736434,0x866b3c4994e1416b7c738b9818b31dc246b95eee,74024,1665459870
5736435,0xaf26f7c6bf453e2078f08953e4b28004a2c1e209,74024,1665459900
5736436,0xe5f648ea98f17aa12acd59468643c62fbbf813eb,67173,1665459935
5736438,0xaf26f7c6bf453e2078f08953e4b28004a2c1e209,69649,1665459955
5736439,0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,69649,1665459970
5736440,0xaf26f7c6bf453e2078f08953e4b28004a2c1e209,67165,1665459970
5736441,0xaf26f7c6bf453e2078f08953e4b28004a2c1e209,67173,1665459980
5736443,0x225f137127d9067788314bc7fcc1f36746a3c3b5,74421,1665459995
5736444,0x0b08da7068b73a579bd5e8a8290ff8afd37bc32a,67161,1665460005
5736445,0xbb2f91fea03fabd291cd8741b2d2b497763b21a5,69649,1665460015
5736448,0x866b3c4994e1416b7c738b9818b31dc246b95eee,74421,1665460110
5737026,0x0cf30daf2fb962ed1d5d19c97f5f6651f3b691c1,67156,1665490230
5737045,0xda0dce962ff7a4c0db2d97909bacf0545e33fdb1,74024,1665490970
5737048,0xda0dce962ff7a4c0db2d97909bacf0545e33fdb1,69649,1665491020
5737062,0x5a384227b65fa093dec03ec34e111db80a040615,74424,1665491295
